USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 159852  9184 ?        Ss   Sep25   0:02 /sbin/init auto noprompt
root        188  0.0  0.0      0     0 ?        I<   Sep25   0:00 [kstrp]
root        207  0.0  0.0      0     0 ?        I<   Sep25   0:00 [charger_manager]
root        256  0.0  0.0      0     0 ?        I<   Sep25   0:00 [mpt_poll_0]
root        257  0.0  0.0      0     0 ?        I<   Sep25   0:00 [mpt/0]
root        258  0.0  0.0      0     0 ?        S    Sep25   0:00 [irq/16-vmwgfx]
root        259  0.0  0.0      0     0 ?        S    Sep25   0:00 [scsi_eh_2]
root        260  0.0  0.0      0     0 ?        I<   Sep25   0:00 [scsi_tmf_2]
root        261  0.0  0.0      0     0 ?        I<   Sep25   0:00 [ttm_swap]
root        262  0.0  0.0      0     0 ?        S    Sep25   0:00 [scsi_eh_3]
root        263  0.0  0.0      0     0 ?        I<   Sep25   0:00 [scsi_tmf_3]
root        264  0.0  0.0      0     0 ?        S    Sep25   0:00 [scsi_eh_4]
root        265  0.0  0.0      0     0 ?        I<   Sep25   0:00 [scsi_tmf_4]
root        266  0.0  0.0      0     0 ?        S    Sep25   0:00 [scsi_eh_5]
root        267  0.0  0.0      0     0 ?        I<   Sep25   0:00 [scsi_tmf_5]
root        268  0.0  0.0      0     0 ?        S    Sep25   0:00 [scsi_eh_6]
root        269  0.0  0.0      0     0 ?        I<   Sep25   0:00 [scsi_tmf_6]
root        270  0.0  0.0      0     0 ?        S    Sep25   0:00 [scsi_eh_7]
root        271  0.0  0.0      0     0 ?        I<   Sep25   0:00 [scsi_tmf_7]
root        272  0.0  0.0      0     0 ?        S    Sep25   0:00 [scsi_eh_8]
root        273  0.0  0.0      0     0 ?        I<   Sep25   0:00 [scsi_tmf_8]
root        274  0.0  0.0      0     0 ?        S    Sep25   0:00 [scsi_eh_9]
root        275  0.0  0.0      0     0 ?        I<   Sep25   0:00 [scsi_tmf_9]
root        276  0.0  0.0      0     0 ?        S    Sep25   0:00 [scsi_eh_10]
root        277  0.0  0.0      0     0 ?        I<   Sep25   0:00 [scsi_tmf_10]
root        278  0.0  0.0      0     0 ?        S    Sep25   0:00 [scsi_eh_11]
root        279  0.0  0.0      0     0 ?        I<   Sep25   0:00 [scsi_tmf_11]
root        280  0.0  0.0      0     0 ?        S    Sep25   0:00 [scsi_eh_12]
root        281  0.0  0.0      0     0 ?        I<   Sep25   0:00 [scsi_tmf_12]
